model,market,split,entry_dt,side,outcome,win,entry_ask_cents,entry_bid_cents,entry_p_side,entry_p_yes,entry_edge_cents,entry_seconds_to_close,exit_type,exit_dt,exit_seconds_to_close,exit_bid_cents,exit_p_side,exit_fair_edge_to_bid_cents,pnl_cents,settled,cost_cents,entry_fee_cents,exit_fee_cents,total_fee_cents,path_points,min_bid_after_entry,max_bid_after_entry,min_p_side_after_entry,max_p_side_after_entry,bid_drawdown_cents,bid_runup_cents,p_side_drawdown,p_side_runup,first_prob52_elapsed_sec,first_prob56_elapsed_sec,first_bid_drop20_elapsed_sec,first_bid_drop40_elapsed_sec,last_path_seconds_to_close,w30_min_bid,w30_min_p_side,w30_bid_drawdown_cents,w30_p_side_drawdown,w60_min_bid,w60_min_p_side,w60_bid_drawdown_cents,w60_p_side_drawdown,w120_min_bid,w120_min_p_side,w120_bid_drawdown_cents,w120_p_side_drawdown,w240_min_bid,w240_min_p_side,w240_bid_drawdown_cents,w240_p_side_drawdown,fee_1c_entry_cents,settlement_fee_1c_entry_cents,exit_over_hold_cents
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26APR302230-30,train,2026-05-01 02:21:14.147000+00:00,no,no,True,87.0,86.0,0.885,0.11499999999999999,1.5,525.853,settlement_win,,,,,,26.0,True,174.0,2.0,0.0,2.0,36,82.0,100.0,0.845,0.999999,5.0,13.0,0.040000000000000036,0.11499899999999996,,,,,0.041,86.0,0.885,1.0,0.0,83.0,0.855,4.0,0.030000000000000027,82.0,0.845,5.0,0.040000000000000036,82.0,0.845,5.0,0.040000000000000036,22.0,22.0,0.0
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26APR302245-45,train,2026-05-01 02:35:00.329000+00:00,no,no,True,82.0,81.0,0.8602043425391457,0.13979565746085432,4.020434253914573,599.671,probability_reduce,2026-05-01 02:38:00.527000+00:00,419.473,42.0,0.4747220856778319,5.472208567783191,-80.0,False,164.0,3.0,4.0,7.0,40,38.0,100.0,0.4721872669877968,0.999999,44.0,18.0,0.3880170755513489,0.1397946574608543,180.198,180.198,135.107,180.198,13.744,80.0,0.8602043425391457,2.0,0.0,79.0,0.8602043425391457,3.0,0.0,75.0,0.8005059733419995,7.0,0.05969836919714622,38.0,0.4721872669877968,44.0,0.3880170755513489,-89.0,31.0,-120.0
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26APR302300-00,train,2026-05-01 02:54:02.084000+00:00,no,no,True,74.0,73.0,0.7633099059169901,0.2366900940830099,2.330990591699006,357.916,settlement_win,,,,,,52.0,True,148.0,3.0,0.0,3.0,24,71.0,99.0,0.7633099059169901,0.999999,3.0,25.0,0.0,0.23668909408300987,,,,,12.516,71.0,0.7633099059169901,3.0,0.0,71.0,0.7633099059169901,3.0,0.0,71.0,0.7633099059169901,3.0,0.0,71.0,0.7633099059169901,3.0,0.0,47.0,47.0,0.0
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26APR302315-15,train,2026-05-01 03:05:03.069000+00:00,no,yes,False,75.0,74.0,0.800132664255314,0.19986733574468596,5.013266425531398,596.931,probability_reduce,2026-05-01 03:08:03.262000+00:00,416.738,10.0,0.1027587210906532,0.27587210906532,-130.0,False,150.0,3.0,2.0,5.0,29,1.0,74.0,0.0011914927822720411,0.8120744094429917,74.0,-1.0,0.798941171473042,0.011941745187677655,180.193,180.193,120.139,150.173,161.301,60.0,0.800132664255314,15.0,0.0,60.0,0.800132664255314,15.0,0.0,60.0,0.7665535280569757,15.0,0.0335791361983383,6.0,0.08870566301453664,69.0,0.7114270012407774,-137.0,-155.0,18.0
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26APR302345-45,train,2026-05-01 03:40:05.880000+00:00,no,no,True,96.0,96.0,0.96,0.04,0.0,294.12,settlement_win,,,,,,8.0,True,192.0,1.0,0.0,1.0,20,93.0,100.0,0.9299999999999999,0.999999,3.0,4.0,0.030000000000000027,0.03999900000000001,,,,,8.795,95.0,0.95,1.0,0.010000000000000009,94.0,0.945,2.0,0.015000000000000013,93.0,0.9299999999999999,3.0,0.030000000000000027,93.0,0.9299999999999999,3.0,0.030000000000000027,5.0,5.0,0.0
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY010000-00,train,2026-05-01 03:55:07.114000+00:00,no,no,True,64.0,63.0,0.6655875073561395,0.3344124926438605,2.558750735613941,292.886,settlement_win,,,,,,72.0,True,128.0,4.0,0.0,4.0,20,63.0,100.0,0.6655875073561395,0.999999,1.0,36.0,0.0,0.3344114926438605,,,,,7.598,63.0,0.6655875073561395,1.0,0.0,63.0,0.6655875073561395,1.0,0.0,63.0,0.6655875073561395,1.0,0.0,63.0,0.6655875073561395,1.0,0.0,66.0,66.0,0.0
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY010015-15,train,2026-05-01 04:14:08.446000+00:00,yes,yes,True,98.0,98.0,0.999326357099134,0.999326357099134,1.9326357099133986,51.554,settlement_win,,,,,,4.0,True,196.0,1.0,0.0,1.0,4,98.0,100.0,0.999326357099134,0.999999,0.0,2.0,0.0,0.000672642900865994,,,,,6.499,98.0,0.999326357099134,0.0,0.0,98.0,0.999326357099134,0.0,0.0,98.0,0.999326357099134,0.0,0.0,98.0,0.999326357099134,0.0,0.0,1.0,1.0,0.0
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY010030-30,train,2026-05-01 04:21:24.257000+00:00,no,no,True,65.0,63.0,0.66,0.33999999999999997,1.0,515.743,probability_reduce,2026-05-01 04:22:54.413000+00:00,425.587,45.0,0.475,2.5,-40.0,False,130.0,4.0,4.0,8.0,35,25.0,100.0,0.29935948467313234,0.999999,40.0,35.0,0.3606405153268677,0.33999899999999994,90.156,90.156,90.156,345.555,4.931,63.0,0.655,2.0,0.0050000000000000044,60.0,0.625,5.0,0.03500000000000003,45.0,0.475,20.0,0.18500000000000005,35.0,0.475,30.0,0.18500000000000005,-50.0,64.0,-114.0
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY010045-45,train,2026-05-01 04:35:10.431000+00:00,yes,yes,True,79.0,78.0,0.864672124644804,0.864672124644804,7.467212464480397,589.569,settlement_win,,,,,,42.0,True,158.0,3.0,0.0,3.0,40,61.0,100.0,0.69896641005819,0.999999,18.0,21.0,0.16570571458661398,0.13532687535519594,,,,,3.39,75.0,0.864672124644804,4.0,0.0,75.0,0.864672124644804,4.0,0.0,75.0,0.8383744721590003,4.0,0.026297652485803735,75.0,0.8383744721590003,4.0,0.026297652485803735,37.0,37.0,0.0
v55_bookanchor_m10_v20_g05_book_plus2,KXBTC15M-26MAY010100-00,train,2026-05-01 04:55:27.515000+00:00,no,no,True,69.0,68.0,0.7050000000000001,0.29499999999999993,1.5,272.485,settlement_win,,,,,,62.0,True,138.0,3.0,0.0,3.0,19,55.0,100.0,0.5571271485605269,0.999999,14.0,31.0,0.14787285143947315,0.2949989999999999,,165.238,,,2.063,68.0,0.7050000000000001,1.0,0.0,68.0,0.7050000000000001,1.0,0.0,68.0,0.7050000000000001,1.0,0.0,55.0,0.5571271485605269,14.0,0.14787285143947315,57.0,57.0,0.0
