policy,source,market,ts_wall,side,reason,p_side,ask_cents,ask_prob,v28_minus_ask_prob,edge_cents,raw_edge_cents,seconds_to_close,sigma_t_dollars,abs_d_sigma,eligible_depth,recross_hazard_score,h6_recross_hazard_high,book_age_ms,btc_age_ms,actionable,status,result,side_won,gross_cents,hold_gross_cents
baseline_v28_approved,approved_entry,KXBTC15M-26MAY051300-00,2026-05-05T16:50:05.755107+00:00,yes,approved_entry,0.867375,81.0,0.81,0.057374999999999954,2.23752,4.23752,594.247,115.035336,0.93606,65.0,0.36657919808610573,True,578.0,31.0,True,finalized,yes,True,36,38
baseline_v28_approved,approved_entry,KXBTC15M-26MAY051330-30,2026-05-05T17:21:10.942716+00:00,yes,approved_entry,0.879391,82.0,0.82,0.05939100000000008,2.439055,4.439055,529.068,106.389306,0.992205,7.02,0.30242891547156237,True,469.0,0.0,True,finalized,yes,True,0,36
baseline_v28_approved,approved_entry,KXBTC15M-26MAY051545-45,2026-05-05T19:33:58.979974+00:00,yes,approved_entry,0.851935,75.0,0.75,0.101935,6.693536,8.693536,661.031,107.31608,0.878899,318.78,0.38190335478068066,True,563.0,188.0,True,finalized,yes,True,16,50
baseline_v28_approved,approved_entry,KXBTC15M-26MAY051615-15,2026-05-05T20:07:14.784265+00:00,no,approved_entry,0.855253,76.0,0.76,0.09525300000000003,6.02531,8.02531,465.231,91.135075,0.878092,7.0,0.2723002958536802,True,312.0,15.0,True,finalized,yes,False,-24,-152
baseline_v28_approved,approved_entry,KXBTC15M-26MAY051715-15,2026-05-05T21:03:37.881802+00:00,yes,approved_entry,0.877551,82.0,0.82,0.05755100000000002,2.255072,4.255072,682.131,97.818587,0.960247,27.0,0.3259898292285944,True,906.0,15.0,True,finalized,no,False,-28,-164
baseline_v28_approved,approved_entry,KXBTC15M-26MAY051745-45,2026-05-05T21:31:47.677253+00:00,no,approved_entry,0.861462,77.0,0.77,0.09146199999999993,5.646183,7.646183,792.338,103.356534,0.887172,167.26,0.3993723747635055,True,422.0,31.0,True,finalized,no,True,-10,46
baseline_v28_approved,approved_entry,KXBTC15M-26MAY051800-00,2026-05-05T21:48:07.452299+00:00,yes,approved_entry,0.85382,78.0,0.78,0.07382,3.882043,5.882043,712.553,94.543639,0.877954,326.6,0.3496464060083165,True,359.0,15.0,True,finalized,yes,True,-24,44
baseline_v28_approved,approved_entry,KXBTC15M-26MAY051815-15,2026-05-05T22:02:42.367335+00:00,yes,approved_entry,0.865481,81.0,0.81,0.05548099999999989,2.048056,4.048056,737.648,96.28496,0.918368,93.0,0.3479522342160163,True,16.0,0.0,True,finalized,no,False,24,-162
baseline_v28_approved,approved_entry,KXBTC15M-26MAY051830-30,2026-05-05T22:23:23.870507+00:00,no,approved_entry,0.865344,80.0,0.8,0.06534399999999996,3.034397,5.034397,396.139,69.953296,0.920757,82.79,0.18481237302914516,False,312.0,15.0,True,finalized,yes,False,-92,-160
baseline_v28_approved,approved_entry,KXBTC15M-26MAY051845-45,2026-05-05T22:30:45.039013+00:00,no,approved_entry,0.864024,79.0,0.79,0.07402399999999998,3.902414,5.902414,854.974,103.506064,0.885262,97.0,0.4162522477382457,True,968.0,0.0,True,finalized,no,True,42,42
baseline_v28_approved,approved_entry,KXBTC15M-26MAY051900-00,2026-05-05T22:50:29.738719+00:00,yes,approved_entry,0.876273,80.0,0.8,0.07627299999999992,4.127337,6.127337,570.274,99.512422,0.9639,254.05,0.3021213220864653,True,719.0,63.0,True,finalized,yes,True,40,40
baseline_v28_approved,approved_entry,KXBTC15M-26MAY051915-15,2026-05-05T23:10:41.997963+00:00,yes,approved_entry,0.880213,82.0,0.82,0.06021300000000007,2.521344,4.521344,258.016,78.24006,0.994248,119.82,0.15500111387451665,False,265.0,15.0,True,finalized,yes,True,34,36
baseline_v28_approved,approved_entry,KXBTC15M-26MAY051945-45,2026-05-05T23:42:55.986594+00:00,yes,approved_entry,0.870179,74.0,0.74,0.13017900000000004,9.517919,11.517919,124.019,42.10812,0.946373,516.02,0.060671416989530894,False,250.0,0.0,True,finalized,yes,True,26,52
baseline_v28_approved,approved_entry,KXBTC15M-26MAY052015-15,2026-05-06T00:03:31.958528+00:00,yes,approved_entry,0.91064,85.0,0.85,0.06064000000000003,3.064008,5.064008,688.041,100.603062,1.137938,27.53,0.28190119029157684,True,94.0,16.0,True,finalized,yes,True,30,30
baseline_v28_approved,approved_entry,KXBTC15M-26MAY052045-45,2026-05-06T00:36:34.762512+00:00,yes,approved_entry,0.851889,79.0,0.79,0.06188899999999997,2.688928,4.688928,505.239,92.589796,0.866186,40.0,0.2917497589224879,True,156.0,781.0,True,finalized,no,False,-18,-158
baseline_v28_approved,approved_entry,KXBTC15M-26MAY052100-00,2026-05-06T00:48:43.297538+00:00,no,approved_entry,0.852877,79.0,0.79,0.06287699999999996,2.787743,4.787743,676.704,103.226027,0.892507,110.0,0.3666540312599931,True,937.0,0.0,True,finalized,yes,False,-30,-158
baseline_v28_approved,approved_entry,KXBTC15M-26MAY052115-15,2026-05-06T01:04:20.560726+00:00,yes,approved_entry,0.941543,78.0,0.78,0.161543,12.654292,14.654292,639.45,103.054901,1.395955,46.0,0.21507757842206168,False,250.0,0.0,True,finalized,yes,True,44,44
baseline_v28_approved,approved_entry,KXBTC15M-26MAY052145-45,2026-05-06T01:35:20.545005+00:00,yes,approved_entry,0.93473,85.0,0.85,0.08472999999999997,5.473022,7.473022,579.455,97.221032,1.326462,2150.71,0.20704926938576498,False,266.0,0.0,True,finalized,yes,True,20,30
baseline_v28_approved,approved_entry,KXBTC15M-26MAY052200-00,2026-05-06T01:47:48.376865+00:00,yes,approved_entry,0.850777,79.0,0.79,0.06077699999999997,2.577696,4.577696,731.636,108.207066,0.880811,58.0,0.40434357182519426,True,390.0,0.0,True,finalized,yes,True,12,42
baseline_v28_approved,approved_entry,KXBTC15M-26MAY052215-15,2026-05-06T02:01:36.053678+00:00,no,approved_entry,0.881293,83.0,0.83,0.05129300000000003,2.129313,4.129313,803.948,121.574044,0.987464,40.0,0.42803907980422096,True,578.0,297.0,True,finalized,no,True,-14,34
baseline_v28_approved,approved_entry,KXBTC15M-26MAY052245-45,2026-05-06T02:38:40.296092+00:00,no,approved_entry,0.916618,40.0,0.4,0.516618,47.661822,49.661822,379.717,73.612719,1.218811,40.0,0.14133142354912012,False,875.0,0.0,True,finalized,yes,False,-26,-80
