market,result,status,settlement_ts,close_time,watch_close_time,watch_status,first_seen_ts,last_seen_ts,heartbeat_count,source
KXBTC15M-26MAY101930-30,no,finalized,2026-05-10T23:30:15.904849Z,2026-05-10T23:30:00Z,2026-05-10T23:30:00Z,active,2026-05-10 19:21:10,2026-05-10 19:30:26,38,kalshi_api
KXBTC15M-26MAY101945-45,yes,finalized,2026-05-10T23:45:15.902279Z,2026-05-10T23:45:00Z,2026-05-10T23:45:00Z,active,2026-05-10 19:30:35,2026-05-10 19:44:50,58,kalshi_api
KXBTC15M-26MAY102000-00,no,finalized,2026-05-11T00:00:15.85703Z,2026-05-11T00:00:00Z,2026-05-11T00:00:00Z,active,2026-05-10 19:45:05,2026-05-10 19:59:55,60,kalshi_api
KXBTC15M-26MAY102015-15,no,finalized,2026-05-11T00:15:15.898602Z,2026-05-11T00:15:00Z,2026-05-11T00:15:00Z,active,2026-05-10 20:00:04,2026-05-10 20:15:11,61,kalshi_api
KXBTC15M-26MAY102030-30,no,finalized,2026-05-11T00:30:15.902631Z,2026-05-11T00:30:00Z,2026-05-11T00:30:00Z,active,2026-05-10 20:15:19,2026-05-10 20:30:16,60,kalshi_api
KXBTC15M-26MAY102045-45,no,finalized,2026-05-11T00:45:15.906069Z,2026-05-11T00:45:00Z,2026-05-11T00:45:00Z,active,2026-05-10 20:30:19,2026-05-10 20:45:06,59,kalshi_api
KXBTC15M-26MAY102100-00,no,finalized,2026-05-11T01:00:16.249584Z,2026-05-11T01:00:00Z,2026-05-11T01:00:00Z,active,2026-05-10 20:45:19,2026-05-10 21:00:10,59,kalshi_api
KXBTC15M-26MAY102115-15,yes,finalized,2026-05-11T01:15:15.906705Z,2026-05-11T01:15:00Z,2026-05-11T01:15:00Z,closed,2026-05-10 21:00:19,2026-05-10 21:15:17,60,kalshi_api
KXBTC15M-26MAY102130-30,yes,finalized,2026-05-11T01:30:15.854344Z,2026-05-11T01:30:00Z,2026-05-11T01:30:00Z,active,2026-05-10 21:15:19,2026-05-10 21:30:10,59,kalshi_api
KXBTC15M-26MAY102145-45,no,finalized,2026-05-11T01:45:15.904064Z,2026-05-11T01:45:00Z,2026-05-11T01:45:00Z,closed,2026-05-10 21:30:19,2026-05-10 21:45:06,58,kalshi_api
KXBTC15M-26MAY102200-00,no,finalized,2026-05-11T02:00:15.899029Z,2026-05-11T02:00:00Z,2026-05-11T02:00:00Z,closed,2026-05-10 21:45:19,2026-05-10 22:00:19,59,kalshi_api
KXBTC15M-26MAY102215-15,no,finalized,2026-05-11T02:15:15.954219Z,2026-05-11T02:15:00Z,2026-05-11T02:15:00Z,active,2026-05-10 22:00:19,2026-05-10 22:11:34,43,kalshi_api
KXBTC15M-26MAY102230-30,,active,,2026-05-11T02:30:00Z,2026-05-11T02:30:00Z,active,2026-05-10 22:16:26,2026-05-10 22:17:15,4,kalshi_api
