entry_ts,exit_ts,market,side,entry_price_cents,exit_price_cents,entry_fee_cents,exit_fee_cents,net_pnl_cents,net_pnl_dollars,exit_reason,settlement_exit,hold_seconds,pt_cents,sl_cents,max_hold_seconds,sim_expected_net_cents,sim_sharpe_like,entry_fair_side_cents,entry_z_cents,entry_seconds_to_close
2026-05-01T23:11:14.302037+00:00,2026-05-01T23:12:03.642875+00:00,KXBTC15M-26MAY011915-15,no,14.0,24.0,1.0,2.0,7.0,0.07,take_profit,False,49.341,8.0,35.0,60.0,5.785,1.906789,45.4709,26.9709,225.71
2026-05-02T01:36:03.286998+00:00,2026-05-02T01:38:50.465007+00:00,KXBTC15M-26MAY012145-45,no,15.0,14.0,1.0,1.0,-3.0,-0.03,max_hold,False,167.178,8.0,35.0,120.0,4.855,0.928584,45.1012,19.6012,536.724
2026-05-03T11:51:12.272650+00:00,2026-05-03T11:52:05.342158+00:00,KXBTC15M-26MAY030800-00,no,14.0,26.0,1.0,2.0,9.0,0.09,take_profit,False,53.07,8.0,35.0,120.0,5.5163,1.215963,49.8419,16.3419,527.74
2026-05-04T09:10:35.985278+00:00,2026-05-04T09:12:36.307416+00:00,KXBTC15M-26MAY040515-15,no,15.0,25.0,1.0,2.0,7.0,0.07,take_profit,False,120.322,8.0,35.0,120.0,5.6238,1.403868,46.411,19.911,264.017
2026-05-04T09:39:45.023865+00:00,2026-05-04T09:40:47.922309+00:00,KXBTC15M-26MAY040545-45,no,12.0,11.0,1.0,1.0,-3.0,-0.03,max_hold,False,62.898,8.0,35.0,60.0,4.9463,3.254531,45.4495,33.9495,315.01
2026-05-04T15:52:32.689995+00:00,2026-05-04T15:55:06.436504+00:00,KXBTC15M-26MAY041200-00,no,86.0,87.0,1.0,1.0,-1.0,-0.01,max_hold,False,153.747,8.0,35.0,120.0,4.925,0.733381,98.9383,12.4383,447.392
2026-05-05T02:08:51.989576+00:00,2026-05-05T02:13:16.047401+00:00,KXBTC15M-26MAY042215-15,no,10.0,21.0,1.0,2.0,8.0,0.08,take_profit,False,264.058,8.0,35.0,60.0,4.8471,0.701734,25.1678,9.1678,368.023
2026-05-05T19:35:09.435744+00:00,2026-05-05T19:35:29.422237+00:00,KXBTC15M-26MAY051545-45,no,17.0,59.0,1.0,2.0,39.0,0.39,take_profit,False,19.986,8.0,35.0,240.0,4.7637,0.662766,41.5213,22.0213,590.568
2026-05-05T20:10:48.101434+00:00,2026-05-05T20:10:57.285428+00:00,KXBTC15M-26MAY051615-15,no,7.0,76.0,1.0,2.0,66.0,0.66,take_profit,False,9.184,8.0,35.0,240.0,6.0,999.0,46.0374,27.5374,251.899
2026-05-05T20:35:04.697301+00:00,2026-05-05T20:35:11.152977+00:00,KXBTC15M-26MAY051645-45,no,13.0,51.0,1.0,2.0,35.0,0.35,take_profit,False,6.456,8.0,35.0,240.0,4.6666,0.760327,46.3779,14.3779,595.303
2026-05-05T21:06:07.729755+00:00,2026-05-05T21:10:15.188816+00:00,KXBTC15M-26MAY051715-15,no,17.0,17.0,1.0,1.0,-2.0,-0.02,max_hold,False,247.459,8.0,35.0,240.0,4.6805,0.80059,34.0433,9.5433,532.272
2026-05-05T21:50:14.914356+00:00,2026-05-05T21:54:24.123087+00:00,KXBTC15M-26MAY051800-00,no,17.0,20.0,1.0,2.0,0.0,0.0,max_hold,False,249.209,8.0,35.0,240.0,5.7177,1.816091,46.3884,19.3884,585.087
2026-05-05T22:06:13.492507+00:00,2026-05-05T22:06:24.886371+00:00,KXBTC15M-26MAY051815-15,no,8.0,16.0,1.0,1.0,6.0,0.06,take_profit,False,11.394,8.0,35.0,240.0,5.4483,1.1914,45.5083,37.0083,526.507
2026-05-05T22:27:04.548362+00:00,2026-05-05T22:27:23.844261+00:00,KXBTC15M-26MAY051830-30,no,4.0,79.0,1.0,2.0,72.0,0.72,take_profit,False,19.296,8.0,35.0,240.0,5.1246,0.917583,47.1941,28.1941,175.452
2026-05-05T23:44:10.008712+00:00,2026-05-05T23:44:30.024697+00:00,KXBTC15M-26MAY051945-45,no,2.0,26.0,1.0,2.0,21.0,0.21,take_profit,False,20.016,8.0,35.0,240.0,5.6686,1.750733,35.499,28.999,49.991
2026-05-06T00:05:32.001742+00:00,2026-05-06T00:09:37.704942+00:00,KXBTC15M-26MAY052015-15,no,16.0,15.0,1.0,1.0,-3.0,-0.03,max_hold,False,245.703,8.0,35.0,240.0,4.6402,0.830511,33.1268,16.6268,568.0
2026-05-06T00:43:50.028433+00:00,2026-05-06T00:44:10.047211+00:00,KXBTC15M-26MAY052045-45,no,10.0,22.0,1.0,2.0,9.0,0.09,take_profit,False,20.019,8.0,35.0,240.0,5.0,999.0,47.6607,38.6607,69.973
2026-05-06T00:54:30.237609+00:00,2026-05-06T00:56:30.621493+00:00,KXBTC15M-26MAY052100-00,no,16.0,79.0,1.0,2.0,60.0,0.6,take_profit,False,120.384,8.0,35.0,240.0,5.9731,5.556395,45.5379,27.0379,329.762
2026-05-06T01:07:17.355767+00:00,2026-05-06T01:09:10.417202+00:00,KXBTC15M-26MAY052115-15,no,15.0,24.0,1.0,2.0,6.0,0.06,take_profit,False,113.061,8.0,35.0,240.0,5.5392,1.268938,46.0576,28.0576,462.654
2026-05-06T01:20:27.280709+00:00,2026-05-06T01:24:36.104950+00:00,KXBTC15M-26MAY052130-30,no,10.0,10.0,1.0,1.0,-2.0,-0.02,max_hold,False,248.824,8.0,35.0,240.0,5.5781,1.338243,45.8425,35.8425,572.724
2026-05-06T01:42:09.290626+00:00,2026-05-06T01:42:22.107289+00:00,KXBTC15M-26MAY052145-45,no,4.0,21.0,1.0,2.0,14.0,0.14,take_profit,False,12.817,8.0,35.0,240.0,4.2723,0.518347,28.8712,22.8712,170.709
2026-05-06T01:51:06.346914+00:00,2026-05-06T01:51:26.369505+00:00,KXBTC15M-26MAY052200-00,no,13.0,22.0,1.0,2.0,6.0,0.06,take_profit,False,20.023,8.0,35.0,240.0,5.1902,0.903767,45.0233,32.0233,533.657
2026-05-06T02:56:47.763026+00:00,2026-05-06T02:56:58.682046+00:00,KXBTC15M-26MAY052300-00,no,1.0,39.0,1.0,2.0,35.0,0.35,take_profit,False,10.919,8.0,35.0,240.0,4.1029,0.509324,39.9271,38.9271,192.237
2026-05-06T03:13:05.991532+00:00,2026-05-06T03:13:26.008906+00:00,KXBTC15M-26MAY052315-15,no,4.0,18.0,1.0,2.0,11.0,0.11,take_profit,False,20.017,8.0,35.0,240.0,4.3225,0.587955,46.9981,26.9981,114.008
2026-05-06T04:50:14.206442+00:00,2026-05-06T04:50:21.173047+00:00,KXBTC15M-26MAY060100-00,no,17.0,66.0,1.0,2.0,46.0,0.46,take_profit,False,6.967,8.0,35.0,240.0,5.9194,3.181109,41.9642,17.9642,585.794
2026-05-06T05:53:01.654947+00:00,2026-05-06T05:57:01.745013+00:00,KXBTC15M-26MAY060200-00,no,16.0,20.0,1.0,2.0,1.0,0.01,max_hold,False,240.09,8.0,35.0,240.0,5.7044,1.604965,46.5439,30.5439,418.346
2026-05-06T06:05:50.082011+00:00,2026-05-06T06:06:07.295683+00:00,KXBTC15M-26MAY060215-15,no,16.0,24.0,1.0,2.0,5.0,0.05,take_profit,False,17.214,8.0,35.0,240.0,4.8469,0.707697,47.1005,23.1005,549.92
2026-05-06T06:40:30.313665+00:00,2026-05-06T06:40:39.297072+00:00,KXBTC15M-26MAY060245-45,no,12.0,20.0,1.0,2.0,5.0,0.05,take_profit,False,8.983,8.0,35.0,240.0,4.776,0.680978,45.346,28.346,269.687
2026-05-06T06:57:58.677315+00:00,2026-05-06T06:58:13.064042+00:00,KXBTC15M-26MAY060300-00,no,4.0,19.0,1.0,2.0,12.0,0.12,take_profit,False,14.387,8.0,35.0,240.0,5.0636,0.82589,46.4072,42.4072,121.324
2026-05-06T07:13:48.256848+00:00,2026-05-06T07:14:10.038981+00:00,KXBTC15M-26MAY060315-15,no,1.0,21.0,1.0,2.0,17.0,0.17,take_profit,False,21.782,8.0,35.0,240.0,5.5796,1.334799,46.5087,45.5087,71.743
2026-05-06T08:50:36.104322+00:00,2026-05-06T08:51:07.110394+00:00,KXBTC15M-26MAY060500-00,no,5.0,81.0,1.0,2.0,73.0,0.73,take_profit,False,31.006,8.0,35.0,240.0,4.9483,0.758856,63.6237,43.1237,563.896
