entry_ts,exit_ts,market,side,entry_price_cents,exit_price_cents,entry_fee_cents,exit_fee_cents,net_pnl_cents,net_pnl_dollars,exit_reason,settlement_exit,hold_seconds,pt_cents,sl_cents,max_hold_seconds,sim_expected_net_cents,sim_sharpe_like,entry_fair_side_cents,entry_z_cents,entry_seconds_to_close
2026-05-01T23:11:14.302037+00:00,2026-05-01T23:12:03.642875+00:00,KXBTC15M-26MAY011915-15,no,14.0,24.0,1.0,2.0,7.0,0.07,take_profit,False,49.341,8.0,35.0,120.0,5.6775,1.529879,45.4709,26.9709,225.71
2026-05-02T00:10:02.878965+00:00,2026-05-02T00:12:17.692978+00:00,KXBTC15M-26MAY012015-15,no,18.0,23.0,2.0,2.0,1.0,0.01,max_hold,False,134.814,8.0,35.0,120.0,3.6237,0.904604,40.2125,22.2125,297.124
2026-05-02T01:36:03.286998+00:00,2026-05-02T01:38:50.465007+00:00,KXBTC15M-26MAY012145-45,no,15.0,14.0,1.0,1.0,-3.0,-0.03,max_hold,False,167.178,8.0,35.0,120.0,5.0163,1.105746,45.1012,19.6012,536.724
2026-05-02T03:35:15.115827+00:00,2026-05-02T03:38:19.400922+00:00,KXBTC15M-26MAY012345-45,no,13.0,12.0,1.0,1.0,-3.0,-0.03,max_hold,False,184.285,8.0,35.0,120.0,3.925,0.584471,26.9794,14.4794,584.917
2026-05-03T11:51:12.272650+00:00,2026-05-03T11:52:05.342158+00:00,KXBTC15M-26MAY030800-00,no,14.0,26.0,1.0,2.0,9.0,0.09,take_profit,False,53.07,8.0,35.0,120.0,5.3819,1.051162,49.8419,16.3419,527.74
2026-05-04T08:08:26.022413+00:00,2026-05-04T08:10:23.649075+00:00,KXBTC15M-26MAY040415-15,no,67.0,81.0,2.0,2.0,10.0,0.1,take_profit,False,117.627,8.0,35.0,60.0,3.8388,1.460111,99.5,30.5,393.978
2026-05-04T09:10:35.985278+00:00,2026-05-04T09:12:36.307416+00:00,KXBTC15M-26MAY040515-15,no,15.0,25.0,1.0,2.0,7.0,0.07,take_profit,False,120.322,8.0,35.0,60.0,5.6506,1.463363,46.411,19.911,264.017
2026-05-04T09:26:34.100786+00:00,2026-05-04T09:28:05.768584+00:00,KXBTC15M-26MAY040530-30,no,19.0,18.0,2.0,2.0,-5.0,-0.05,max_hold,False,91.668,8.0,35.0,60.0,3.2044,0.901573,47.9309,24.4309,205.899
2026-05-04T13:37:25.879201+00:00,2026-05-04T13:38:27.664853+00:00,KXBTC15M-26MAY040945-45,no,22.0,28.0,2.0,2.0,2.0,0.02,max_hold,False,61.786,8.0,35.0,60.0,3.6506,0.945416,47.3934,22.8934,454.121
2026-05-04T15:52:32.689995+00:00,2026-05-04T15:55:06.436504+00:00,KXBTC15M-26MAY041200-00,no,86.0,87.0,1.0,1.0,-1.0,-0.01,max_hold,False,153.747,8.0,35.0,120.0,4.8712,0.70835,98.9383,12.4383,447.392
2026-05-04T22:51:01.817718+00:00,2026-05-04T22:54:46.071901+00:00,KXBTC15M-26MAY041900-00,no,21.0,21.0,2.0,2.0,-4.0,-0.04,max_hold,False,224.254,8.0,35.0,60.0,3.7313,1.100707,47.7165,21.2165,538.182
2026-05-05T19:35:09.435744+00:00,2026-05-05T19:35:29.422237+00:00,KXBTC15M-26MAY051545-45,no,17.0,59.0,1.0,2.0,39.0,0.39,take_profit,False,19.986,8.0,35.0,120.0,4.4413,0.552414,41.5213,22.0213,590.568
2026-05-05T20:09:06.472491+00:00,2026-05-05T20:09:20.507432+00:00,KXBTC15M-26MAY051615-15,no,28.0,76.0,2.0,2.0,44.0,0.44,take_profit,False,14.035,8.0,35.0,240.0,3.9463,2.596552,48.2107,19.7107,353.528
2026-05-05T20:35:04.697301+00:00,2026-05-05T20:35:11.152977+00:00,KXBTC15M-26MAY051645-45,no,13.0,51.0,1.0,2.0,35.0,0.35,take_profit,False,6.456,8.0,35.0,240.0,4.2669,0.58116,46.3779,14.3779,595.303
2026-05-05T21:50:14.914356+00:00,2026-05-05T21:54:24.123087+00:00,KXBTC15M-26MAY051800-00,no,17.0,20.0,1.0,2.0,0.0,0.0,max_hold,False,249.209,8.0,35.0,240.0,5.7566,2.045862,46.3884,19.3884,585.087
2026-05-05T22:06:13.492507+00:00,2026-05-05T22:06:24.886371+00:00,KXBTC15M-26MAY051815-15,no,8.0,16.0,1.0,1.0,6.0,0.06,take_profit,False,11.394,8.0,35.0,240.0,5.6733,1.68483,45.5083,37.0083,526.507
2026-05-05T22:27:04.548362+00:00,2026-05-05T22:27:23.844261+00:00,KXBTC15M-26MAY051830-30,no,4.0,79.0,1.0,2.0,72.0,0.72,take_profit,False,19.296,8.0,35.0,240.0,5.2124,1.027302,47.1941,28.1941,175.452
2026-05-05T23:44:10.008712+00:00,2026-05-05T23:44:30.024697+00:00,KXBTC15M-26MAY051945-45,no,2.0,26.0,1.0,2.0,21.0,0.21,take_profit,False,20.016,8.0,35.0,240.0,5.5316,1.45648,35.499,28.999,49.991
2026-05-06T00:05:32.001742+00:00,2026-05-06T00:09:37.704942+00:00,KXBTC15M-26MAY052015-15,no,16.0,15.0,1.0,1.0,-3.0,-0.03,max_hold,False,245.703,8.0,35.0,240.0,4.6114,0.798173,33.1268,16.6268,568.0
2026-05-06T00:54:30.237609+00:00,2026-05-06T00:56:30.621493+00:00,KXBTC15M-26MAY052100-00,no,16.0,79.0,1.0,2.0,60.0,0.6,take_profit,False,120.384,8.0,35.0,240.0,5.9194,3.181109,45.5379,27.0379,329.762
2026-05-06T01:07:17.355767+00:00,2026-05-06T01:09:10.417202+00:00,KXBTC15M-26MAY052115-15,no,15.0,24.0,1.0,2.0,6.0,0.06,take_profit,False,113.061,8.0,35.0,240.0,5.8591,2.426742,46.0576,28.0576,462.654
2026-05-06T01:20:27.280709+00:00,2026-05-06T01:24:36.104950+00:00,KXBTC15M-26MAY052130-30,no,10.0,10.0,1.0,1.0,-2.0,-0.02,max_hold,False,248.824,8.0,35.0,240.0,5.7094,1.677436,45.8425,35.8425,572.724
2026-05-06T01:42:09.290626+00:00,2026-05-06T01:42:22.107289+00:00,KXBTC15M-26MAY052145-45,no,4.0,21.0,1.0,2.0,14.0,0.14,take_profit,False,12.817,8.0,35.0,240.0,4.2246,0.510477,28.8712,22.8712,170.709
2026-05-06T01:51:06.346914+00:00,2026-05-06T01:51:26.369505+00:00,KXBTC15M-26MAY052200-00,no,13.0,22.0,1.0,2.0,6.0,0.06,take_profit,False,20.023,8.0,35.0,240.0,5.1354,0.870435,45.0233,32.0233,533.657
2026-05-06T02:54:05.457351+00:00,2026-05-06T02:54:25.470192+00:00,KXBTC15M-26MAY052300-00,no,16.0,39.0,1.0,2.0,20.0,0.2,take_profit,False,20.013,8.0,35.0,240.0,3.2886,0.347196,47.0818,25.5818,354.543
2026-05-06T03:05:30.801300+00:00,2026-05-06T03:09:35.397623+00:00,KXBTC15M-26MAY052315-15,no,14.0,18.0,1.0,2.0,1.0,0.01,max_hold,False,244.596,8.0,35.0,240.0,3.1565,0.329773,45.5725,23.5725,569.201
2026-05-06T03:53:02.435495+00:00,2026-05-06T03:53:15.697518+00:00,KXBTC15M-26MAY060000-00,no,31.0,40.0,2.0,2.0,5.0,0.05,take_profit,False,13.262,8.0,35.0,240.0,3.4354,0.775676,58.9266,23.9266,417.565
2026-05-06T04:50:14.206442+00:00,2026-05-06T04:50:21.173047+00:00,KXBTC15M-26MAY060100-00,no,17.0,66.0,1.0,2.0,46.0,0.46,take_profit,False,6.967,8.0,35.0,240.0,5.9194,3.181109,41.9642,17.9642,585.794
2026-05-06T05:51:30.498183+00:00,2026-05-06T05:55:33.055879+00:00,KXBTC15M-26MAY060200-00,no,20.0,20.0,2.0,2.0,-4.0,-0.04,max_hold,False,242.558,8.0,35.0,240.0,3.6407,0.938065,46.0184,26.0184,509.503
2026-05-06T06:05:50.082011+00:00,2026-05-06T06:06:07.295683+00:00,KXBTC15M-26MAY060215-15,no,16.0,24.0,1.0,2.0,5.0,0.05,take_profit,False,17.214,8.0,35.0,240.0,4.8425,0.705176,47.1005,23.1005,549.92
2026-05-06T06:25:19.497221+00:00,2026-05-06T06:29:30.026135+00:00,KXBTC15M-26MAY060230-30,no,17.0,21.0,1.0,2.0,1.0,0.01,max_hold,False,250.529,8.0,35.0,240.0,3.8563,0.418776,47.4311,21.4311,280.503
2026-05-06T06:39:59.253263+00:00,2026-05-06T06:44:10.070837+00:00,KXBTC15M-26MAY060245-45,no,17.0,20.0,1.0,2.0,0.0,0.0,max_hold,False,250.818,8.0,35.0,240.0,3.3306,0.324625,43.6061,21.1061,300.747
